	CHR	ChromosomePatch
clump1	1	40
clump2	1	41
clump3	1	42
clump4	1	65
clump5	1	98
clump6	1	184
clump7	1	185
clump8	1	186
clump9	1	187
clump10	1	245
clump11	1	352
clump12	1	600
clump13	1	601
clump14	1	602
clump15	1	603
clump16	1	615
clump17	1	616
clump18	1	617
clump19	1	619
clump20	1	620
clump21	1	621
clump22	1	622
clump23	1	628
clump24	1	653
clump25	1	658
clump26	1	668
clump27	1	670
clump28	1	719
clump29	1	731
clump30	1	732
clump31	1	736
clump32	1	816
clump33	1	817
clump34	1	818
clump35	1	822
clump36	1	823
clump37	1	934
clump38	2	34
clump39	2	40
clump40	2	42
clump41	2	43
clump42	2	63
clump43	2	64
clump44	2	83
clump45	2	172
clump46	2	173
clump47	2	174
clump48	2	175
clump49	2	250
clump50	2	251
clump51	2	252
clump52	2	253
clump53	2	254
clump54	2	255
clump55	2	256
clump56	2	257
clump57	2	266
clump58	2	342
clump59	2	343
clump60	2	447
clump61	2	484
clump62	2	485
clump63	2	538
clump64	2	577
clump65	2	675
clump66	2	676
clump67	2	692
clump68	2	693
clump69	2	694
clump70	2	696
clump71	2	724
clump72	2	725
clump73	2	807
clump74	2	808
clump75	2	809
clump76	2	832
clump77	2	855
clump78	2	934
clump79	2	953
clump80	2	954
clump81	2	966
clump82	2	967
clump83	2	968
clump84	2	969
clump85	2	970
clump86	3	72
clump87	3	73
clump88	3	74
clump89	3	75
clump90	3	92
clump91	3	193
clump92	3	194
clump93	3	195
clump94	3	196
clump95	3	197
clump96	3	198
clump97	3	199
clump98	3	200
clump99	3	259
clump100	3	283
clump101	3	346
clump102	3	347
clump103	3	348
clump104	3	349
clump105	3	351
clump106	3	427
clump107	3	428
clump108	3	451
clump109	3	452
clump110	3	453
clump111	3	510
clump112	3	511
clump113	3	512
clump114	3	513
clump115	3	517
clump116	3	518
clump117	3	550
clump118	3	564
clump119	3	607
clump120	3	608
clump121	3	614
clump122	3	641
clump123	3	676
clump124	3	677
clump125	3	678
clump126	3	679
clump127	3	680
clump128	3	688
clump129	3	689
clump130	4	280
clump131	4	294
clump132	4	295
clump133	4	296
clump134	4	297
clump135	4	298
clump136	4	310
clump137	4	379
clump138	4	380
clump139	4	381
clump140	4	382
clump141	4	423
clump142	4	424
clump143	4	425
clump144	4	426
clump145	4	563
clump146	4	587
clump147	4	607
clump148	4	608
clump149	5	4
clump150	5	5
clump151	5	6
clump152	5	7
clump153	5	151
clump154	5	177
clump155	5	224
clump156	5	225
clump157	5	263
clump158	5	293
clump159	5	535
clump160	5	676
clump161	5	691
clump162	5	706
clump163	5	710
clump164	5	711
clump165	5	712
clump166	6	6
clump167	6	44
clump168	6	45
clump169	6	85
clump170	6	87
clump171	6	89
clump172	6	118
clump173	6	119
clump174	6	120
clump175	6	121
clump176	6	122
clump177	6	123
clump178	6	124
clump179	6	125
clump180	6	126
clump181	6	127
clump182	6	128
clump183	6	129
clump184	6	130
clump185	6	131
clump186	6	132
clump187	6	138
clump188	6	139
clump189	6	140
clump190	6	166
clump191	6	174
clump192	6	304
clump193	6	305
clump194	6	306
clump195	6	437
clump196	6	438
clump197	6	467
clump198	6	468
clump199	6	469
clump200	6	470
clump201	6	537
clump202	6	613
clump203	6	614
clump204	6	639
clump205	6	640
clump206	6	641
clump207	6	642
clump208	6	643
clump209	6	644
clump210	6	645
clump211	7	7
clump212	7	8
clump213	7	81
clump214	7	83
clump215	7	84
clump216	7	85
clump217	7	87
clump218	7	108
clump219	7	109
clump220	7	110
clump221	7	111
clump222	7	112
clump223	7	145
clump224	7	163
clump225	7	189
clump226	7	190
clump227	7	370
clump228	7	390
clump229	7	391
clump230	7	392
clump231	8	33
clump232	8	34
clump233	8	44
clump234	8	91
clump235	8	92
clump236	8	93
clump237	8	94
clump238	8	103
clump239	8	104
clump240	8	154
clump241	8	396
clump242	8	435
clump243	8	436
clump244	8	439
clump245	8	510
clump246	8	511
clump247	8	512
clump248	8	513
clump249	8	514
clump250	8	579
clump251	9	42
clump252	9	74
clump253	9	75
clump254	9	76
clump255	9	87
clump256	9	88
clump257	9	134
clump258	9	135
clump259	9	136
clump260	9	328
clump261	9	438
clump262	9	440
clump263	9	441
clump264	9	521
clump265	9	530
clump266	9	560
clump267	10	3
clump268	10	22
clump269	10	181
clump270	10	182
clump271	10	183
clump272	10	184
clump273	10	186
clump274	10	188
clump275	10	190
clump276	10	196
clump277	10	204
clump278	10	205
clump279	10	206
clump280	10	251
clump281	10	320
clump282	10	321
clump283	10	323
clump284	10	360
clump285	10	361
clump286	10	416
clump287	10	417
clump288	10	418
clump289	10	422
clump290	10	458
clump291	10	490
clump292	10	491
clump293	10	492
clump294	10	493
clump295	10	506
clump296	11	6
clump297	11	8
clump298	11	9
clump299	11	29
clump300	11	30
clump301	11	131
clump302	11	189
clump303	11	230
clump304	11	234
clump305	11	235
clump306	11	236
clump307	11	247
clump308	11	261
clump309	11	263
clump310	11	264
clump311	11	265
clump312	11	266
clump313	11	267
clump314	11	268
clump315	11	269
clump316	11	271
clump317	11	275
clump318	11	276
clump319	11	277
clump320	11	278
clump321	11	304
clump322	11	305
clump323	11	409
clump324	11	432
clump325	11	433
clump326	11	453
clump327	11	454
clump328	11	455
clump329	11	500
clump330	11	501
clump331	11	502
clump332	11	537
clump333	12	51
clump334	12	57
clump335	12	58
clump336	12	59
clump337	12	193
clump338	12	194
clump339	12	195
clump340	12	198
clump341	12	212
clump342	12	213
clump343	12	259
clump344	12	260
clump345	12	360
clump346	12	368
clump347	12	409
clump348	12	410
clump349	12	411
clump350	12	458
clump351	12	532
clump352	13	203
clump353	13	204
clump354	13	205
clump355	13	294
clump356	13	295
clump357	13	296
clump358	13	367
clump359	13	368
clump360	13	441
clump361	14	93
clump362	14	147
clump363	14	148
clump364	14	151
clump365	14	152
clump366	14	212
clump367	14	213
clump368	14	243
clump369	14	244
clump370	14	245
clump371	14	246
clump372	14	275
clump373	14	276
clump374	14	282
clump375	14	283
clump376	14	284
clump377	14	366
clump378	14	379
clump379	15	133
clump380	15	163
clump381	15	164
clump382	15	223
clump383	15	225
clump384	15	226
clump385	15	266
clump386	15	267
clump387	15	282
clump388	15	361
clump389	15	396
clump390	16	19
clump391	16	217
clump392	16	218
clump393	16	230
clump394	16	269
clump395	16	286
clump396	16	319
clump397	16	328
clump398	16	340
clump399	17	1
clump400	17	2
clump401	17	30
clump402	17	31
clump403	17	49
clump404	17	50
clump405	17	70
clump406	17	71
clump407	17	120
clump408	17	143
clump409	17	144
clump410	17	145
clump411	17	183
clump412	17	184
clump413	17	185
clump414	17	186
clump415	17	187
clump416	17	188
clump417	17	189
clump418	17	190
clump419	17	225
clump420	17	226
clump421	17	228
clump422	17	276
clump423	18	207
clump424	18	212
clump425	18	213
clump426	18	214
clump427	18	226
clump428	18	243
clump429	18	292
clump430	18	298
clump431	18	306
clump432	18	307
clump433	18	308
clump434	19	68
clump435	19	128
clump436	19	153
clump437	19	154
clump438	19	155
clump439	19	167
clump440	19	168
clump441	19	192
clump442	19	200
